Name,Description,Length,Biking,Skiing,Horseriding,Skating,Walking,ATV,Snowmobile,Usage,Highway,Paved,Gravel,Stone Dust,Dirt,Boardwalk,SurfaceTyp
Town of East Hampton-Bluff Road/Cranberry Hole Road Bike Route,"A scenic 3.7 mile bike route paralleling ocean beaches, connecting Amagansett to Napeague State Park and the Promised Land.",3.7,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
Town of Brookhaven-Longwood Road Bike Lanes,The Longwood Road bike lanes are 1.4 miles in length and connect to bike lanes along Smith Road to Longwood High School and Longwood Middle School. The Longwood Road bike route also connects to a commuting bike route for employees of Brookhaven National,1.4,Y,,,,,,,Biking,Dedicated Lane,Y,,,,,Paved
Port Washington Shorefront Path,A 0.2 mile scenic multi use path along the Manhasset Bay waterfront.,0.2,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Union Trails West Tri-Cities Airport Loop,"When constructed this segment will add 2.90 miles to the Greater Binghamton Greenway, by constructing a ""loop"" in the area of Tri-Cities Airport.",2.9,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Union Trails West Phase 2,When constructed this segment wil add 0.90 miles to the Greater Binghamton Greenway by connecting Grippen Park on the east to the Tri-Cities Airport loop on the west.,0.9,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Union Trails West River Terrace Loop,When constructed this segment will add 0.70 miles to the Greater Binghamton Greenway by providing this loop in the River Terrace neighborhood.,0.7,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Chugnut Trail,"This 0.70 mile segment of the Greater Binghamton Greenway connects the residential neighborhoods located to the east with Union Endicott High School, and points west.",0.7,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Binghamton University,When constructed this 1.2 mile segment on the Binghamton University campus will provide a connection to the proposed new trail being designed to connect downtown Binghamton to Binghamton University on the east.  It will also provide the connection to the,1.2,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Hickories Park Loop,"This 1.60 mile segment provides walking and biking amenities within Hickories Park in the Town of Owego.  This park also provides camping, and boat launch facilities and is located along the north shore of the Susquehanna River.  Hickories Park is also h",1.6,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - S. Washington Street to Binghamton University,"When constructed this segment of the Greater Binghamton Greenway will connect downtown Binghamton to the Binghamton University campus in Vestal, as well as provide a connection to MacArthur Park and school.  The proposed trail will follow the southern sh",2.4,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
"Greater Binghamton Greenway - Chenango River Promenade West, Cliton Street to Prospect Street",When constructed this segment will add 0.40 miles to the Greater Binghamton Greenway by connecting Clinton Street to Prospect Street in the City of Binghamton.,0.4,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Prospect Street to Bevier Street,"When constructed this segment will add 0.60 mile to the Greater Binghamton Greenway and will connect Prospect Street in the City of Binghamton to Bevier Street, and Otsiningo Park in the Town of Dickinson.",0.6,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Northgate Plaza Extension,When constructed this segment would add 0.70 miles to the Greater Binghamton Greenway by connecting the north end of the Otsiningo Park Trail to the residential neighborhood at Quinn Rd.,0.7,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Port Dickinson Community Park Trail,"This 0.9 mile ""loop"" trail within the Port Dickinson Community Park is an excellent asset for walkers, with numerous amenities and very accessible for all.  The park was built as part of the construction of the ""connector between Intersate Highways 81 &",0.9,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Union Trails West Phase 1,When constructed this segment wil add 0.40 miles to the Greater Binghamton Greenway by providing a connection between the River Terrace neighborhood west towards Grippen Park.,0.4,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Tioga County Trails Phase 3,"When constructed this segment of the Greater Binghamton Greenway will add an additional 2.6 miles to the system, stretching from the eastern end of Marshland Road. to the western end of Marshland Road. along the westbound lanes of Route 17.",2.5,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Vestal Rail Trail Phase 2,When constructed this section of the Greater Binghamton Greenway will add an additional 1.3 miles of multi-use trail westerly from the current Vestal Rail Trail to the Castle Gardens neighborhood.  The trail runs along the southern shore of the Susquehan,1.4,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Schnurbusch Park Loop Trail,"When constructed this 0.80 mile trail provides a ""loop"" within Schnurbusch Park",0.8,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Schnurbusch Park Extension,When constructed this 0.40 mile trail will connect Schnurbusch Park to the residential neighborhoods to the west along Woodcrest Way.,0.4,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Owego Riverwalk,This 0.30 mile segment connects Draper's Park on the West with Mayor's Park on the east along the north bank of the Susquehanna River in the Village of Owego.,0.3,,,,,Y,,,Walking,Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Vestal Rail Trail Phase 3,"When constructed this segment of the Greater Binghamton Greenway will add an additional 1.8 miles to the system, and connect the Castle Gardens Neighorhood to Tracy Creek near the Broome - Tioga Co. border.",1.8,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Susquehanna River Towpath,"When constructed this 3.0 mile segment will connect Binghamton University to the Vestal Rail Trail to the west, utilizing Old Mill Road, Commerce Drive, and Vestal Road.",3,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
"Greater Binghamton Greenway - Chenango River Promenade West, Phase 1","When constructed this segment will add 0.40 miles to the Greater Binghamton Greenway by connecting Riverside Drive to Court Street, in the City of Binghamton.",0.4,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Susquehanna River Promenade Phase 1,"When constructed this 0.4 mile segment of the Greater Binghamton Greenway in the City of Binghamton will connect Confluence Park, at Washington Street to Exchange Street on the east.  The trail runs along the north shore of the Susquehanna River.",0.4,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Vestal Rail Trail Phase 4,"When constructed this segment of the Greater Binghamton Greenway will add an additional 0.5 miles to the system between Sycamore Road (on the east), and African Road (on the west), connecting to the current Vestal Rail Trail.",0.5,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Susquehanna River Promenade Phase 2,"When constructed this proposed section of the Greater Binghamton Greenway, will connect Exchange Street to the Rock Bottom Dam site along the north shore of the Susquehanna River.",0.3,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Conklin Multi-Use Trail,"When constructed this 0.90 mile trail connects the Conklin Corporate Park, on the east with the Town owned Schnurbusch Park on the west.",0.9,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Tioga County Trails Phase 1,When constructed this segment of the Greater Binghamton Greenway will add 2.3 miles to the system stretching from the Broome - Tioga County Border to Appalachin along the south shore of the Susquehanna River.,2.3,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Tioga County Trails Phase 2,"When constructed this segment of the Greater Binghamton Greenway will add 1.5 miles to the system, stretching from Appalachin west to Marshland Road along the south shore of the Susquehanna River.",1.5,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Otsiningo Park South,"This portion of the Greater Binghamton Greenway is located in Otsiningo Park, which is part of the Broome County Parks system.  Otsiningo Park is one of the most frequented parks in the Broome Co. system, and home to the annual Ballon Rally & Spedie Fest",1.2,Y,,,Y,,,,"Biking, Skating",Off Road,Y,,,,,Paved
Greater Binghamton Greenway - Otsiningo Park North,"This portion of the Greater Binghamton Greenway extended the existing Otsiningo Park Trail an additional 2.0 miles to the north.  This portion is a full 16 feet wide, with parking at its northern terminus.  The trail runs along the west bank of the Chena",2,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Heritage Trail,"Orange County - The Heritage trail is multi-use trail on the Right of Way of the former Erie Railroad.  The trail features sections of both asphalt and limestone surfaces, and offers attractive scenic vistas.  The current trail winds through a bird/wildl",11.5,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Town of Southampton-Speonk-Riverhead Road Bike Route,A 3.9 mile bike route through the pine barrens and connecting to Suffolk County Community College (Eastern Campus).,3.9,Y,,,,,,,Biking,Off Road,Y,,,,,Paved
State Bike Route 517,"State Bicycle Route 517 is a signed on-road bicycle route that extends 90 miles from the Pennsylvania State Line near Jamestown to the Hamlet of Olcott.   This route connects with Pennsylvania State Bicycle Routes  , the NYS Canalway Trail   and the NYS",90,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
Warren County Bikeway,Off-road trail connecting downtown Glens Falls to Lake George Village.,10.25,Y,Y,,Y,Y,,Y,"Walking, Biking, Skating, Skiing, Snowmobile",Off Road,Y,,,,,Paved
South Glens Falls Bike Trail,Off-road trail that connects South Glens Falls Historical Park to Sandbar Beach in the Town of Moreau.,0.84,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Horseheads Linear Park Trail,"The Horseheads Linear Park Trail is a ADA accessible, paved, off-road trail intended for bicyclists and pedestrians.  The trail runs parallel to Interstate 86 in the Village of Horseheads.",0.42,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,,,,Paved
Painted Post Trail,"The Painted Post Trail is a paved, off-road trail intended for bicyclists and pedestrians.  The trail runs from Craig Park in the Village of Painted Post and passes underneath Interstate 86 to the City of Corning.  The Painted Post Trail runs parallel to",1.1,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Catharine Valley Trail,The Catharine Valley Trail is a multi-use trail and natural corridor along the abandoned Chemung Canal and railroad system.  Most of the trail is on portions of abandoned Northern Central Railroad and Chemung Canal towpath corridors in New York's Finger,10.3,Y,Y,,,Y,,,"Walking, Biking, Skiing",Off Road,Y,,Y,,,"Paved, Stone Dust"
NY 590 Shared Use Pathway,The NY 590 Shared use pathway is a 2.26 mile paved pathway which parallels NY 590 between Titus Avenue and Culver Road in the Town of Irondequoit,2.26,Y,Y,,Y,Y,,,"Walking, Biking, Skating, Skiing",Off Road,Y,,,,,Paved
Keuka Outlet Trail,"The Keuka Outlet Trail is a multi-use off-road trail between the villages of Penn Yan on Keuka Lake and Dresden on Seneca Lake.  The trail is built on the track bed of the old Fall Brook Railroad (1884-1974), which, in turn, follows the towpath of the hi",6.8,Y,Y,Y,,Y,,Y,"Walking, Biking, Horse Riding, Skiing, Snowmobile",Off Road,Y,Y,,Y,,"Paved, Gravel, Dirt"
Big Flats Rail Trail,"The Big Flats Rail Trail is a multi-use trail constructed on an former railroad track bed.  The trail can be acessed from Kahler Road South and runs both east and west.  All users are free to bicycle, walk or run the trail.  There is also a parking area",1,Y,,,,Y,,,"Walking, Biking",Off Road,,,Y,,,Stone Dust
BMTS Bike Route 1,"BMTS Bike Route 1, is a signed ""on road"" local bike route, one of seven in the Binghamton Urban Area.  It is located in the Town of Kirkwood, City of Binghamton, Village of Johnson City,Town of Union, as well the Town & Village of Owego, and is oriented",27.8,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
BMTS Bike Route 2,"BMTS Bike Route 2, is a signed ""on road"" local bike route, one of seven in the Binghamton Urban Area.  It is located in the Towns of Conklin, Vestal,and Owego,as well the City of Binghamton, and is oriented in a East-West direction.  It is characterized",27,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
BMTS Bike Route 3,"BMTS Bike Route 3, is a signed ""on road"" local bike route, one of seven in the Binghamton Urban Area.  It is located in the Towns of Chenango, and Dickinson, as well the City of Binghamton, and is oriented in a North-South direction.  It is characterized",8.3,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
BMTS Bike Route 4,"BMTS Bike Route 4, is a signed ""on road"" local bike route, one of seven in the Binghamton Urban Area.  It is located in the Towns of Chenango, Fenton,Port Dickinson, and the City of Binghamton, it is oriented in a North-South direction.  It is characteri",11.1,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
BMTS Bike Route 5,"BMTS Bike Route 5, is a signed ""on road"" local bike route, one of seven in the Binghamton Urban Area.  It is located in the Town of  Dickinson, as well as the Village of Johnson City and the City of Binghamton, and is oriented in a East-West direction.",5.4,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
BMTS Bike Route 6,"BMTS Bike Route 6, is a signed ""on road"" local bike route, one of seven in the Binghamton Urban Area.  It is located in the Town of Union, and the Village of Endicott.  It is oriented East to West. It is characterized by rolling terrain, with some steep",4.8,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
BMTS Bike Route 7,"BMTS Bike Route 7, is a signed ""on road"" local bike route, one of seven in the Binghamton Urban Area.  It is located in the Town of Union, and the Village of Endicott.  It is characterized by generally flat or rolling terrain, and is oriented East to Wes",2.6,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
State Bike Route 199,"State Bike Route 199 is a signed, on-road bicycle route that extends from Dutchess to Ulster County.  It begins at the intersection of Route 199 and Route 308 in the Town of Milan, Dutchess County, and follows Route 199 west over the Kingston-Rhinecliff",11,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
Walkway Over the Hudson,"Ulster and Dutchess Counties - The Walkway is a 1.3 mile bridge across the Hudson River (the former Poughkeepsie Railroad Bridge), linking Poughkeepsie (Dutchess County) and Highland (Town of Lloyd, Ulster County). It connects to Rail Trails in Ulster Co",1.3,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Hudson Valley Rail Trail,"Ulster County - The Hudson Valley Rail Trail extends four miles from Walkway over the Hudson to the Hamlet of Highland, and Tony Williams Park.  Upon completion, the trail will be 6 miles long extending toward New Paltz.",3.7,Y,Y,Y,Y,Y,,,"Walking, Biking, Skating, Horse Riding, Skiing",Off Road,Y,,,,,Paved
State Bike Route 209,"State Bike Route 209 is a signed, on-road bicycle route in Port Jervis, Orange County.  It connects State Bike Route 17 to Pennsylvania Bike Route Y1 over the Delaware River, via Route 209 and the Mid Delaware Bridge.",0.7,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
"Croton-Ossining ""Crossining"" Bike Path",Westchester County - The Croton-Ossining Trailway is a segregated pathway adjacent to Route 9 between Croton and Ossining.  It extends from the Croton-on-Hudson Rail Station and Croton Point Park to Mystic Drive/Quaker Bridge Road.  It is part of the Riv,1,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
Hurley Rail Trail,"Ulster County - The Hurley Rail Trail extends along Route 209 in the Town of Hurley from the Marbletown O&W Rail Trail to the parking lot near the bridge over the Esopus Creek, approximately 1.3 miles south of Route 28, in the Town of Hurley.",2,Y,Y,,Y,Y,,,"Walking, Biking, Skating, Skiing",Off Road,Y,,,,,Paved
Old Champlain Canal Towpath,Off-road trail along the Old Champlain Canal Towpath in Fort Edward. Terminates at McIntyre Park.,2.72,Y,Y,,,Y,,,"Walking, Biking, Skiing",Off Road,Y,,Y,,,"Paved, Stone Dust"
Feeder Canal Park Heritage Trail,Off road trail that links the Old Champlain Feeder Canal Towpath in Fort Edward with downtown Glens Falls. Portions of the trail are shared roadway.,7.36,Y,,,,Y,,,"Walking, Biking",Off Road,Y,,Y,,,"Paved, Stone Dust"
State Bike Route 308,"State Bike Route 308 is a signed, on-road bicycle route in Dutchess County.  It extends from State Bike Route 9, in Rhinebeck to State Bike Route 199 in Milan.",6,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
State Bike Route 9,State Bicycle Route 9 is a signed on-road bicycle route that extends 345 miles from New York City to Rouses Point on the New York - Quebec border.   This route connects with the Velo Quebec cycling routes in Quebec and eastern Canada.  It also intersects,345,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
Putnam Trailway,"The Putnam Trailway is a paved bicycle/pedestrian path located primarily on right of way lands of the former Putnam Division of the New York Central Railroad.  The Putnama Trailway is open from Route 118 at Baldwin Place, at the Westchester County and Pu",10.9,Y,Y,,Y,Y,,,"Walking, Biking, Skating, Skiing",Off Road,Y,,,,,Paved
Dutchess Rail Trail,"Dutchess County - The Dutchess Rail Trail extends from Morgan Lake in Poughkeepsie to Hopewell Junction in East Fishkill, along the former Maybrook Railroad line. The final section will be completed in 2012. It will soon connect to the Walkway Over the H",12,Y,Y,,Y,Y,,,"Walking, Biking, Skating, Skiing",Off Road,Y,,,,,Paved
Harlem Valley Rail Trail,"Dutchess and Columbia Counties - The Harlem Valley Rail Trail is planned to be 46 miles long, from Amenia in Dutchess County to Chatham in Columbia County. As of 2012, approximately 15 miles were complete, including 10.7 miles from Wassaic to Millerton (",14.7,Y,Y,,Y,Y,,,"Walking, Biking, Skating, Skiing",Off Road,Y,,,,,Paved
North County Trailway,"Westchester County - The North County Trailway is a paved bicycle and pedestrian path located primarily on the the Right of Way of the former Putnam Division of the New York Central Railroad.  It spans 22.1 miles, from Eastview in the Town of Mt. Pleasan",22.1,Y,Y,,Y,Y,,,"Walking, Biking, Skating, Skiing",Off Road,Y,,,,,Paved
South County Trailway,"Westchester County - The South County Trailway is a paved bicycle and pedestrian path located primarily on right-of-way lands of the former Putnam Division of the New York Central Railroad.  The route spans 14.2 miles, and has 11.6 miles of off-road trai",11.6,Y,Y,,,Y,,,"Walking, Biking, Skiing",Off Road,Y,,,,,Paved
Bronx River Pathway,"Westchester County - The Bronx River Pathway is located in Westchester County within the Bronx River Reservation, a linear park created when the Bronx River Parkway was constructed.  The pathway consists of three paved segments:  a one-mile loop near Oak",10.6,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,,,,,Paved
State Bike Route 22,"State Bike Route 22 is a signed, on-road bicycle route in Columbia County.  It begins at the Dutchess/Columbia County line on Route 22, and ends at Route 20 in New Lebanon where it intersects with State Bike Route 5.",37,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
New York City's Network of Greenways and Pathways,"New York City's network of physically separated, Class 1 bicycle/pedestrian pathways.  This network includes bicycle paths, boardwalks, bridge crossings and mountainbike trails, and includes the 13.6 mile Hudson River Greenway, Jamaica Bay Greenway, the",176,Y,,,Y,Y,,,"Walking, Biking, Skating",Off Road,Y,Y,Y,Y,Y,"Paved, Gravel, Stone Dust, Dirt, Boardwalk"
New York City Bicycle/Pedestrian Network - Links,"These line segments represent links that connect or provide access to bicycle/pedestrian paths, bike lanes, etc.  They include bridge walkways, ferries, pedestrian bridges and other ""walk your bike"" connections.",38,,,,,Y,,,Walking,Off Road,Y,,,,,Paved
New York City's Network of Bicycle Lanes,"New York City's continually growing network of striped bike lanes. Follow the link to NYCDOT's website for more information, free printed and electronic maps, and additional details such as direction of travel, time of day restrictions, ""walk your bike""",254,Y,,,,,,,Biking,Dedicated Lane,Y,,,,,Paved
New York City's Network of Shared Bicycle Lanes,"New York City's continully expanding network is demarkated with pavement markings (chevrons and/or the bicyclist symbol), identifying routes where cyclists may share the travel lane with motor vehicles. Follow the link to NYCDOT's website for more inform",94,Y,,,,,,,Biking,Shared Roadway,Y,,,,,Paved
New York City Bicycle/Pedestrian Network - Stairs,"Locations of stairs that connect or provide access point to bicycle/pedestrian paths, bicycle lanes, etc.",,,,,,Y,,,Walking,Off Road,Y,,,,,Paved
